activity_id,assoc_files,institution_id,member_id,realm,variable_id,table_id,source_id,source_type,cell_methods,cell_measures,experiment_id,variant_label,grid_label,units,time_range,chunk_freq,standard_name,long_name,frequency,file_name,path
CESM,,NCAR,001,atmos,T,,CAM,,time: mean,,mdtf_timeslice_v4.ne120L58.001,001,gn,K,20010101:030000-20021231:210000,,air_temperature,Temperature,6hr,mdtf_timeslice_v4.ne120L58.001.cam.h8a.T.2001010121600-2002123121600.nc,/nas/winds-data/csyhuang/mdtf_data/mdtf_timeslice_v4.ne120L58.001.cam.h8a.T.2001010121600-2002123121600.nc
CESM,,NCAR,001,atmos,U,,CAM,,time: mean,,mdtf_timeslice_v4.ne120L58.001,001,gn,m s-1,20010101:030000-20021231:210000,,eastward_wind,Zonal wind,6hr,mdtf_timeslice_v4.ne120L58.001.cam.h8a.U.2001010121600-2002123121600.nc,/nas/winds-data/csyhuang/mdtf_data/mdtf_timeslice_v4.ne120L58.001.cam.h8a.U.2001010121600-2002123121600.nc
CESM,,NCAR,001,atmos,V,,CAM,,time: mean,,mdtf_timeslice_v4.ne120L58.001,001,gn,m s-1,20010101:030000-20021231:210000,,northward_wind,Meridional wind,6hr,mdtf_timeslice_v4.ne120L58.001.cam.h8a.V.2001010121600-2002123121600.nc,/nas/winds-data/csyhuang/mdtf_data/mdtf_timeslice_v4.ne120L58.001.cam.h8a.V.2001010121600-2002123121600.nc
